City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,Teguise,29.0605,-13.564,68.22,78,20,19.57,ES,2022-07-28 03:54:26
159,Hamilton,39.1834,-84.5333,75.99,92,42,4.41,US,2022-07-28 03:53:43
160,Behbahan,30.5959,50.2417,87.49,70,92,8.05,IR,2022-07-28 03:54:27
161,Madera,37.1666,-119.8343,90.55,33,34,1.01,US,2022-07-28 03:50:37
162,Batsfjord,70.6345,29.7185,49.93,93,100,20.71,NO,2022-07-28 03:54:27
163,Biak,-0.9131,122.8766,80.28,77,95,9.33,ID,2022-07-28 03:54:28
164,Smithers,54.7804,-127.1743,84.52,45,0,4.61,CA,2022-07-28 03:54:28
165,Yerbogachen,61.2767,108.0108,74.88,68,38,6.51,RU,2022-07-28 03:54:28
166,Ola,59.5833,151.2833,75.15,76,30,13.4,RU,2022-07-28 03:54:29
167,Elvas,38.8815,-7.1628,63.64,61,0,5.23,PT,2022-07-28 03:54:29
168,Zabid,14.1951,43.3152,90.54,53,29,5.35,YE,2022-07-28 03:54:29
169,Aste,45.7906,11.0961,66.18,92,10,3.29,IT,2022-07-28 03:54:30
170,Kutum,14.2,24.6667,72.34,66,89,4.94,SD,2022-07-28 03:54:30
171,Castro,-24.7911,-50.0119,56.53,80,90,2.75,BR,2022-07-28 03:51:44
172,Mattru,7.6244,-11.8332,71.37,98,80,2.21,SL,2022-07-28 03:54:30
173,Yulara,-25.2406,130.9889,63.88,16,12,12.95,AU,2022-07-28 03:54:31
174,Sakakah,29.9697,40.2064,85.57,13,6,9.28,SA,2022-07-28 03:53:50
175,San Juan,-31.5375,-68.5364,49.78,71,99,11.18,AR,2022-07-28 03:50:15
176,Nirasaki,35.7,138.45,92.48,57,98,1.99,JP,2022-07-28 03:54:31
177,Kahului,20.8947,-156.47,84.22,66,20,23.02,US,2022-07-28 03:51:52
178,Vredendal,-31.6683,18.5012,54.0,61,0,6.73,ZA,2022-07-28 03:54:32
179,Norman Wells,65.282,-126.8329,64.44,55,75,3.44,CA,2022-07-28 03:53:12
180,East London,-33.0153,27.9116,59.94,88,0,4.61,ZA,2022-07-28 03:54:32
181,Port Hedland,-20.3167,118.5667,82.45,36,0,14.97,AU,2022-07-28 03:54:33
182,Los Llanos De Aridane,28.6585,-17.9182,69.12,93,40,19.57,ES,2022-07-28 03:53:15
183,Xinqing,48.2333,129.5,91.69,36,100,9.48,CN,2022-07-28 03:55:33
184,Adrar,20.5022,-10.0711,94.12,9,0,8.81,MR,2022-07-28 03:55:34
185,Puerto Maldonado,-12.6,-69.1833,72.88,84,47,1.66,PE,2022-07-28 03:55:34
186,Barrow,71.2906,-156.7887,32.88,99,100,14.56,US,2022-07-28 03:55:34
187,Acarau,-2.8856,-40.12,77.83,82,81,14.52,BR,2022-07-28 03:51:04
188,Le Pradet,43.1066,6.0172,69.67,58,0,3.44,FR,2022-07-28 03:55:35
189,Vernashen,39.7924,45.3639,70.72,50,2,2.19,AM,2022-07-28 03:55:35
190,Miyang,24.4042,103.4428,77.81,72,94,4.72,CN,2022-07-28 03:55:35
191,Usinsk,65.9939,57.5281,67.06,50,67,13.73,RU,2022-07-28 03:55:36
192,Cabo San Lucas,22.8909,-109.9124,86.5,71,44,10.29,MX,2022-07-28 03:52:18
193,Sitka,57.0531,-135.33,60.69,72,100,5.75,US,2022-07-28 03:50:52
194,Kushima,31.4583,131.2333,86.83,69,23,11.05,JP,2022-07-28 03:55:36
195,Pervomayskoye,43.919,46.7102,73.81,67,16,6.02,RU,2022-07-28 03:55:36
196,Longyearbyen,78.2186,15.6401,42.64,81,75,18.41,SJ,2022-07-28 03:55:37
197,Rawson,-43.3002,-65.1023,40.39,80,7,16.08,AR,2022-07-28 03:50:51
198,Isangel,-19.55,169.2667,73.51,94,100,2.3,VU,2022-07-28 03:55:37
199,Fengzhen,40.4394,113.1536,77.02,41,0,3.76,CN,2022-07-28 03:55:37
200,Mahajanga,-15.7167,46.3167,64.42,94,20,3.44,MG,2022-07-28 03:55:38
201,Charters Towers,-20.1,146.2667,71.13,23,0,9.06,AU,2022-07-28 03:52:30
202,Naryan-Mar,67.6713,53.087,69.06,59,100,14.88,RU,2022-07-28 03:55:38
203,Mandalgovi,45.7625,106.2708,74.57,30,54,17.22,MN,2022-07-28 03:55:39
204,Hualmay,-11.0964,-77.6139,61.41,87,43,10.18,PE,2022-07-28 03:53:59
205,Cockburn Town,21.4612,-71.1419,81.16,77,0,20.92,TC,2022-07-28 03:51:10
206,Weihai,37.5017,122.1136,82.47,77,86,10.6,CN,2022-07-28 03:55:39
207,Sorland,67.667,12.6934,49.86,77,37,11.39,NO,2022-07-28 03:55:40
208,Negotino,41.4839,22.0892,70.0,68,35,1.7,MK,2022-07-28 03:52:36
209,Riverton,40.5219,-111.9391,83.39,28,0,4.0,US,2022-07-28 03:55:40
210,Padang,-0.9492,100.3543,86.05,57,24,4.41,ID,2022-07-28 03:55:40
211,Faanui,-16.4833,-151.75,78.6,76,14,25.39,PF,2022-07-28 03:55:41
212,Sochi,43.6,39.7303,66.29,69,0,3.58,RU,2022-07-28 03:52:07
213,Vaini,-21.2,-175.2,78.96,83,20,10.36,TO,2022-07-28 03:55:41
214,Kysyl-Syr,63.8986,122.7617,86.52,38,20,6.42,RU,2022-07-28 03:55:41
215,Naze,28.3667,129.4833,86.92,82,68,15.79,JP,2022-07-28 03:55:42
216,Kupang,-10.1667,123.5833,84.24,50,25,14.43,ID,2022-07-28 03:55:42
217,Kavaratti,10.5669,72.642,78.55,87,100,17.47,IN,2022-07-28 03:55:42
218,Muttupet,10.4,79.4833,84.69,67,85,3.91,IN,2022-07-28 03:55:43
219,Ancud,-41.8697,-73.8203,42.85,92,24,2.62,CL,2022-07-28 03:55:43
220,Beira,-19.8436,34.8389,57.29,93,0,5.99,MZ,2022-07-28 03:55:43
221,Walvis Bay,-22.9575,14.5053,53.1,93,4,1.14,NA,2022-07-28 03:55:44
222,Leningradskiy,69.3833,178.4167,39.06,79,95,7.56,RU,2022-07-28 03:52:03
223,Dolo,45.4283,12.0725,77.07,67,3,6.62,IT,2022-07-28 03:55:44
224,Byron Bay,-28.65,153.6167,67.95,51,0,6.46,AU,2022-07-28 03:55:44
225,Eureka,40.8021,-124.1637,59.2,86,13,1.99,US,2022-07-28 03:55:02
226,Bredasdorp,-34.5322,20.0403,47.79,91,0,5.7,ZA,2022-07-28 03:55:45
227,Payo,-3.7508,103.6372,83.14,70,99,5.12,ID,2022-07-28 03:55:45
228,Russell,32.3502,-85.1999,81.63,83,0,3.44,US,2022-07-28 03:52:47
229,Buala,-8.145,159.5921,85.06,67,13,9.1,SB,2022-07-28 03:55:46
230,Vung Tau,10.346,107.0843,84.07,71,52,1.95,VN,2022-07-28 03:56:46
231,Yar-Sale,66.8333,70.8333,66.2,55,83,11.79,RU,2022-07-28 03:54:36
232,Arraial Do Cabo,-22.9661,-42.0278,67.96,83,0,8.05,BR,2022-07-28 03:56:46
233,Neiafu,-18.65,-173.9833,79.48,73,40,9.22,TO,2022-07-28 03:56:47
234,Port Hardy,50.6996,-127.4199,69.98,73,20,4.61,CA,2022-07-28 03:55:54
235,Ostrovnoy,68.0531,39.5131,62.91,78,63,16.44,RU,2022-07-28 03:56:47
236,Shihezi,44.3,86.0333,96.91,11,2,3.91,CN,2022-07-28 03:56:47
237,Clyde River,70.4692,-68.5914,37.63,100,100,5.75,CA,2022-07-28 03:56:48
238,Mabaruma,8.2,-59.7833,73.96,94,0,2.3,GY,2022-07-28 03:56:48
239,Aketi,2.7388,23.7833,70.0,99,100,2.04,CD,2022-07-28 03:56:48
240,Tiksi,71.6872,128.8694,70.43,56,90,7.54,RU,2022-07-28 03:52:05
241,Newburgh,41.5034,-74.0104,74.86,76,100,4.25,US,2022-07-28 03:56:49
242,Kurchum,48.5722,83.6542,83.5,25,64,0.49,KZ,2022-07-28 03:56:49
243,Lavumisa,-27.31,31.892,59.05,85,66,2.06,SZ,2022-07-28 03:56:49
244,Jasper,37.2001,-94.3502,78.71,89,86,6.53,US,2022-07-28 03:56:50
245,Ikot Ekpene,5.1794,7.7108,72.34,96,100,6.82,NG,2022-07-28 03:56:50
246,Ixtapa,20.7,-105.2,79.23,87,100,1.01,MX,2022-07-28 03:56:44
247,Kavali,14.9167,79.9833,87.26,62,13,5.17,IN,2022-07-28 03:56:51
248,Russelsheim,49.9925,8.435,61.11,59,0,11.5,DE,2022-07-28 03:56:51
249,Anamur,36.0751,32.8369,84.2,43,0,5.57,TR,2022-07-28 03:56:51
250,Fallon,39.4735,-118.7774,94.87,11,75,6.91,US,2022-07-28 03:55:43
251,Samarai,-10.6167,150.6667,78.85,84,72,11.61,PG,2022-07-28 03:56:52
252,Bonneville,46.0802,6.4073,64.6,81,0,2.98,FR,2022-07-28 03:56:52
253,Rorvik,64.8621,11.2373,52.72,79,94,12.21,NO,2022-07-28 03:56:53
